Tahun,Judul,Venue,DOI,Utama
2026,Detecting water contaminants using an electrochemical sensor based on improved Transformer Encoder with Genetic Algorithm,Journal of Water Process Engineering,10.1016/j.jwpe.2026.110111,Ya
2026,Cross-Attention Feature Fusion network for robust estimation of Cd2+ and Pb2+ in water samples using Cyclic Voltammetry,Chemical Engineering Journal Advances,10.1016/j.ceja.2026.101065,Ya
2025,Augmented Data Low Confidence (ADLC): A Confidence-Driven Data Augmentation Framework With Ensemble Optimization,IEEE Access,10.1109/ACCESS.2025.3636729,Ya
2025,Metaheuristic Optimized Machine Learning for Real Time Ammonia Prediction in IoT Based POME Bioremediation Systems,BTS-I2C 2025,10.1109/BTS-I2C67944.2025.11399329,Ya
2025,ADASYN-GRU Approach for Enhanced Detection of Heavy Metals in Water Using Electrochemical Sensors,ICoCSETI 2025,10.1109/ICoCSETI63724.2025.11018884,Ya
2025,Voltammetry Data for Aquatic Pollutants Detection,"ICoCSETI, Jakarta - Pembicara",10.1109/ICoCSETI63724.2025.11019150,Tidak
2025,Water Quality Sensor Noise Classification based on Drone Movement,"ICoCSETI, Jakarta",10.1109/ICoCSETI63724.2025.11019111,Tidak
2025,Integrating Potentiostat Measurements and Ensemble Learning,"IES, Surabaya",10.1109/IES67184.2025.11161184,Tidak
2024,Clustering Sensor Array - Palm Oil VOC,"ICITEE, Bali - Pembicara",10.1109/ICITEE62483.2024.10808827,Tidak
2024,Classification-Based Authentication of Cooking Oil Using Electronic Nose,"BTS-I2C, Jember",10.1109/BTS-I2C63534.2024.10941862,Tidak
2024,Optimizing Heavy Metal Detection - DNN + GMM,"BTS-I2C, Jember",10.1109/BTS-I2C63534.2024.10941846,Tidak
2023,K-means Feature Selection for Agile User Stories,"ICMERALDA - Pembicara",10.1109/ICMERALDA60125.2023.10458165,Tidak
2023,Filter Validation - Photoplethysmograph Outliers,"ICAIIC, Bali - Pembicara",10.1109/ICAIIC57133.2023.10067110,Tidak
